Bedrooms,Bathrooms,LivingSQFT,Age,DistToWH,LotSize,ListingType,Floors,CountySchool,Garage,Price
5,5,5260,14,5247.760725,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1699900
6,5,4370,65,9303.090304,0.16,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1474000
2,2,1632,77,6405.86228,0.13,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,825000
5,5,4038,0,8552.837024,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1299000
4,3,2330,0,8575.798502,0.29,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,1199000
4,3,2617,64,9709.791937,0.23,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,1175000
4,3,1750,45,5299.708007,0.19,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,779100
5,6,4938,0,8734.077782,0.19,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1849900
2,2,1377,80,4917.701172,0.06,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,660000
5,5,4333,0,9867.692469,0.14,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1549900
5,5,3596,0,8353.625691,0.16,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1450000
4,5,3756,15,8132.258555,0.15,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1375000
4,3,2331,64,9560.187112,0.23,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,2,949000
5,3,2056,95,5054.790184,0.13,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,1,799900
3,1,1356,115,7714.023887,0.18,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,650000
4,4,2963,3,7945.900535,0.18,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1299000
5,7,7573,0,7996.266344,0.37,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,3875000
6,6,5759,104,7666.748049,0.66,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,3,2500000
4,2,1425,97,4566.910109,0.13,Single Family,1.5,ARLINGTON COUNTY PUBLIC SCHOOLS,0,958085
1,1,1360,12,3733.7752,0,Condo/Townhome,1,ARLINGTON COUNTY PUBLIC SCHOOLS,1,975000
5,6,5567,0,6472.968202,0.22,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1815000
